uid,domainID,siteID,namedLocation,collectDate,parentSampleID,parentSampleCode,isotopePOMRep2SampleCond,isotopePOMRep2SampleID,isotopePOMRep2SampleCode,isotopePOMSampleCond,isotopePOMSampleID,isotopePOMSampleCode,processedDateFilters,sampleVolumeFilteredPOMRep1,sampleVolumeFilteredPOMRep2,fieldDataQF,publicationDate,release
82cac6e1-1da1-4c9f-a843-41d6f8f14855,D12,BLDE,BLDE.AOS.S2,2021-01-05T18:20Z,BLDE.SS.20210105,,Sample condition ok,BLDE.SS.20210105.POM.2,A00000117506,Sample condition ok,BLDE.SS.20210105.POM.1,A00000117504,2021-01-04T21:00Z,500,500,,20220509T143705Z,PROVISIONAL
d50bc607-f598-4c03-afe7-cbcc4c3c50a5,D12,BLDE,BLDE.AOS.S2,2021-02-02T15:55Z,BLDE.SS.20210202,,"","","","","","","",,,,20220509T142117Z,PROVISIONAL
e4005612-ec49-47b3-af1b-e3521b0a98ed,D12,BLDE,BLDE.AOS.S2,2021-02-02T15:55Z,BLDE.SS.20210202,,Sample condition ok,BLDE.SS.20210202.POM.2,A00000117412,Sample condition ok,BLDE.SS.20210202.POM.1,A00000117429,2021-02-02T19:28Z,500,500,,20220509T142117Z,PROVISIONAL
35b59f60-2002-4f18-af1e-6fbf9ab0c2be,D12,BLDE,BLDE.AOS.S2,2021-02-02T15:55Z,BLDE.SS.20210202,,"","","","","","","",,,,20220509T142117Z,PROVISIONAL
d3e8af47-169e-4fb0-ba01-37649b9522c7,D12,BLDE,BLDE.AOS.S2,2021-03-02T17:30Z,BLDE.SS.20210302,,Sample condition ok,BLDE.SS.20210302.POM.2,A00000117721,Sample condition ok,BLDE.SS.20210302.POM.1,A00000117722,2021-03-02T20:09Z,600,600,,20220509T143505Z,PROVISIONAL
a2da7cf6-7905-4711-bed9-4054dd7806c7,D12,BLDE,BLDE.AOS.S2,2021-03-15T16:55Z,BLDE.SS.20210315,,Sample condition ok,BLDE.SS.20210315.POM.2,A00000117638,Sample condition ok,BLDE.SS.20210315.POM.1,A00000117621,2021-03-15T20:15Z,600,600,,20220509T143505Z,PROVISIONAL
874768c1-3697-4574-a60e-933de65aef3f,D12,BLDE,BLDE.AOS.S2,2021-05-12T19:31Z,BLDE.SS.20210512,,Sample condition ok,BLDE.SS.20210512.POM.2,A00000117529,Sample condition ok,BLDE.SS.20210512.POM.1,A00000117512,2021-05-12T19:31Z,500,500,,20220509T142322Z,PROVISIONAL
6d56eb4c-88d9-4c19-8918-c6c6f45dbbc4,D12,BLDE,BLDE.AOS.S2,2021-05-25T17:15Z,BLDE.SS.20210525,,Sample condition ok,BLDE.SS.20210525.POM.2,A00000117725,Sample condition ok,BLDE.SS.20210525.POM.1,A00000117724,2021-05-24T20:02Z,500,500,,20220509T142322Z,PROVISIONAL
6f377eef-4528-4133-a5a7-68bc356994c9,D12,BLDE,BLDE.AOS.S2,2021-06-03T17:20Z,BLDE.SS.20210603,,Sample condition ok,BLDE.SS.20210603.POM.2,A00000117514,Sample condition ok,BLDE.SS.20210603.POM.1,A00000117513,2021-06-03T20:13Z,400,400,,20220509T142814Z,PROVISIONAL
84e96644-35a0-411e-9765-377defef239c,D12,BLDE,BLDE.AOS.S2,2021-06-14T18:20Z,BLDE.SS.20210614,,Sample condition ok,BLDE.SS.20210614.POM.2,A00000117531,Sample condition ok,BLDE.SS.20210614.POM.1,A00000117530,2021-06-14T20:51Z,400,400,,20220509T142814Z,PROVISIONAL
