uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition,publicationDate,release
711f92f3-8f39-400f-9509-914191ceff5c,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL.NUT,B00000038222,2021-01-05T18:20Z,2021-01-05T18:20Z,Florida International University,NO3+NO2 - N,0.1204,milligramsPerLiter,,-1,"",0,,OK,20220509T143705Z,PROVISIONAL
bcfc9a92-f9de-4241-a538-9406aff193e1,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.RAW.NUT,B00000038243,2021-01-05T18:20Z,2021-01-05T18:20Z,Florida International University,TP,0.0502,milligramsPerLiter,,-1,"",0,,OK,20220509T143705Z,PROVISIONAL
154d6772-488e-4505-aa18-ce5f43b62e83,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL.NUT,B00000038222,2021-01-05T18:20Z,2021-01-05T18:20Z,Florida International University,Ortho - P,0.0381,milligramsPerLiter,,-1,"",0,,OK,20220509T143705Z,PROVISIONAL
069b9475-e984-4d2e-8116-774b73ea4bf1,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL.NUT,B00000038222,2021-01-05T18:20Z,2021-01-05T18:20Z,Florida International University,NO2 - N,7e-04,milligramsPerLiter,,-1,"",0,,OK,20220509T143705Z,PROVISIONAL
95f93e43-cda4-4980-9336-4e450776cf48,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL.NUT,B00000038222,2021-01-05T18:20Z,2021-01-05T18:20Z,Florida International University,TDP,0.0452,milligramsPerLiter,,-1,"",0,,OK,20220509T143705Z,PROVISIONAL
a851bcc4-5508-43dc-893a-eb989ef4641c,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL.NUT,B00000038222,2021-01-05T18:20Z,2021-01-05T18:20Z,Florida International University,NH4 - N,0.0062,milligramsPerLiter,,-1,"",0,,OK,20220509T143705Z,PROVISIONAL
562d10b9-2b8c-4215-a1e4-6b489b2142eb,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,Fe,0.016,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
36ea0339-58f1-4779-8d93-cbe13f87b635,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,Na,0.414,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
d3e56d77-c2fc-40bc-b00f-1ed818090b55,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,Mn,5e-04,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
8f58ab00-8575-4023-985c-4cfa9b8fd7fd,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,K,1.018,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
206a6bd7-2547-4bf6-a1c3-f767e7c1e5b5,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,Si,14.77,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
a14a30ef-53f6-4ebd-96c5-8e3dab92cb0b,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,Mg,4.105,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
d36984fe-6dbb-43fa-849e-cbca9736e963,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,Ca,1.102,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
08ae32b5-9509-467c-a966-52f6d1f44aa1,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,CO3,0.005,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
840e1075-0e51-4261-b18d-69cd8676e197,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,HCO3,22.4224,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
340d49c5-e20e-4103-84c2-b15882a37e08,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,SO4,2.4612,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
997f2843-97ec-424f-a545-31e09738721d,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,F,0.2334,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
ffa41a40-c7ca-47e2-9779-c1f14f1fa3d0,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,Cl,0.6831,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
f9b8ff7b-c330-43e4-815c-39fd43091bc8,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,Br,0.005,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
f1740f2d-2406-48de-87a0-dfdd0efa3165,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,Fe,0.004,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
f18f4716-54df-4746-9dde-cc30e0c71a3b,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,Ca,14.8,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
bdeb3f34-7247-4259-a487-accd676ed7b2,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,Si,21.34,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
e1632775-57b1-4c50-b2b0-a3aa1fad051a,D12,BLDE,BLDE.AOS.S2,BLDE.SS.20210105.FIL,A00000117215,2021-01-05T18:20Z,2021-01-05T18:20Z,EcoCore_CSU,K,2.057,milligramsPerLiter,,1.2,"",0,,OK,20220509T143705Z,PROVISIONAL
