uid,laboratoryName,startDate,endDate,analyte,instrument,method,methodModification,methodDetectionLimit,analyteUnits,precision,precisionRepeatabilityUnits,absorbancePrecision,measurementUncertainty,measurementUncertaintyUnits,internalLabName,labSpecificStartDate,labSpecificEndDate,publicationDate
ff9bd11a-bf83-4101-9d9d-edeacf42e408,EcoCore_CSU,2020-02-07,2020-02-07,TDN,Shimadzu toc-L,combustion/chemoluminesence,"",0.035,milligramsPerLiter,0.097,Standard deviation of nominal value,,0.222,95% CI of combined uncertainty,"EcoCore, Colorado State University",2019-05-28,,20220509T143705Z
1d68a8e3-656c-4b3f-9def-3d15d93c4458,EcoCore_CSU,2020-02-07,2020-02-07,NH4 - N,OI flow solution IV with 000857 and 000858 cartridge,Salicylate/nitroferricyanide (DIN 38406),"",0.05,milligramsPerLiter,0.015,Standard deviation of nominal value,,0.05,95% CI of combined uncertainty,"EcoCore, Colorado State University",2016-05-02,2018-06-07,20220509T143705Z
17d13499-88e5-4360-a5c4-2f9d8f64af66,EcoCore_CSU,2020-02-07,2020-02-07,CO3,Mettler Toledo Compact Titrator G20,EPA 310.1,"",0.01,milligramsPerLiter,9.5,+/- % of nominal value at full scale,,10,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State University",2014-10-06,,20220509T143705Z
81944079-8288-4368-bea6-0fb623974ea0,EcoCore_CSU,2020-02-07,2020-02-07,TN,Shimadzu toc-L,combustion/chemoluminesence,"",0.035,milligramsPerLiter,0.097,Standard deviation of nominal value,,0.222,95% CI of combined uncertainty,"EcoCore, Colorado State University",2019-05-28,,20220509T143705Z
88634671-4e97-4b4d-96b8-9c74295d2c04,EcoCore_CSU,2020-02-07,2020-02-07,TPN,Leco Tru-Spec,Combustion/Dumas,"",0.01,milligram,0.002,Standard deviation of nominal value,,0.007,95% CI of combined uncertainty,"EcoCore, Colorado State University",2016-06-15,,20220509T143705Z
6c4ebf6a-ed2a-453a-bbc7-47fbf5664303,EcoCore_CSU,2020-02-07,2020-02-07,Fe,Perkin Elmer Optima 7300 DV ICP,EPA 200.5,"",0.001,milligramsPerLiter,4.8,+/- % of nominal value at full scale,,5,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State University",2014-10-06,,20220509T143705Z
8f3a2a35-f61e-46a7-bec1-437fae8018ea,EcoCore_CSU,2020-02-07,2020-02-07,Mg,Perkin Elmer Optima 7300 DV ICP,EPA 200.5,"",0.001,milligramsPerLiter,4.8,+/- % of nominal value at full scale,,5,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State University",2014-10-06,,20220509T143705Z
32cf51b3-8634-4a06-85d1-98a6262aad2d,EcoCore_CSU,2020-02-07,2020-02-07,NO3+NO2 - N,OI Analytical 3700 Automated Chemistry Analyzer,Cd reduction/sulfanilamide (EPA 353.2),"",0.027,milligramsPerLiter,0.037,Standard deviation of nominal value,,0.214,95% CI of combined uncertainty,"EcoCore, Colorado State University",2017-11-27,2019-07-03,20220509T143705Z
70d4e692-8086-4fc1-b1b4-3e457db35cee,EcoCore_CSU,2020-02-07,2020-02-07,pH,Orion comb. Electrode,EPA 150.1,"",0.01,pH,4.4,+/- % of nominal value at full scale,,5,+/- % of nominal value at full scale,"Soil, Water and Plant Testing Laboratory, Colorado State University",2014-10-06,,20220509T143705Z
953c45db-6423-4d85-8596-cb33a6284aa1,EcoCore_CSU,2020-02-07,2020-02-07,NO3+NO2 - N,OI flow solution IV with A0002670 cartridge,Cd reduction/sulfanilamide (EPA 353.2),"",0.05,milligramsPerLiter,0.008,Standard deviation of nominal value,,0.069,95% CI of combined uncertainty,"EcoCore, Colorado State University",2016-05-02,2018-06-07,20220509T143705Z
