uid,domainID,siteID,namedLocation,collectDate,parentSampleID,sampleCondition,sampleID,replicateNumber,processedDate,processedDateFilters,sampleVolumeFiltered,shipmentTimeRange,filtSampleCond,filtSampleID,filtSampleCode,filtNutSampleCond,filtNutSampleID,filtNutSampleBarcode,rawSampleCond,rawSampleID,rawSampleCode,rawNutSampleCond,rawNutSampleID,rawNutSampleBarcode,pcnSampleCond,pcnSampleID,pcnSampleCode,fieldDataQF,publicationDate,release
3cb77bfb-0561-4202-a91e-b66549f9e20a,D12,BLDE,BLDE.AOS.S2,2021-01-05T18:20Z,BLDE.SS.20210105,Sample condition ok,BLDE.SS.20210105,1,2021-01-04T21:00Z,2021-01-04T21:00Z,500,within 24 hours of collection,Sample condition ok,BLDE.SS.20210105.FIL,A00000117215,Sample condition ok,BLDE.SS.20210105.FIL.NUT,B00000038222,Sample condition ok,BLDE.SS.20210105.RAW,A00000114434,Sample condition ok,BLDE.SS.20210105.RAW.NUT,B00000038243,,,,,20220509T143705Z,PROVISIONAL
d4a8d2fc-6555-41db-8a3c-6e08f69d0b94,D12,BLDE,BLDE.AOS.S2,2021-02-02T15:55Z,BLDE.SS.20210202,Sample condition ok,BLDE.SS.20210202.2,2,2021-02-02T19:28Z,2021-02-02T19:28Z,500,within 24 hours of collection,Sample condition ok,BLDE.SS.20210202.FIL.2,A00000117235,Sample condition ok,BLDE.SS.20210202.FIL.NUT.2,B00000115788,Sample condition ok,BLDE.SS.20210202.RAW.2,A00000117218,Sample condition ok,BLDE.SS.20210202.RAW.NUT.2,B00000115787,,,,,20220509T142117Z,PROVISIONAL
ca9c8728-3cda-4f50-8cc6-61453074a0ec,D12,BLDE,BLDE.AOS.S2,2021-02-02T15:55Z,BLDE.SS.20210202,Sample condition ok,BLDE.SS.20210202,1,2021-02-02T19:28Z,2021-02-02T19:28Z,500,within 24 hours of collection,Sample condition ok,BLDE.SS.20210202.FIL,A00000117217,Sample condition ok,BLDE.SS.20210202.FIL.NUT,B00000115789,Sample condition ok,BLDE.SS.20210202.RAW,A00000114445,Sample condition ok,BLDE.SS.20210202.RAW.NUT,B00000115786,,,,,20220509T142117Z,PROVISIONAL
c6a90d8c-79e8-4e24-877f-1eaa499bdc8e,D12,BLDE,BLDE.AOS.S2,2021-02-02T15:55Z,BLDE.SS.20210202,Sample condition ok,BLDE.SS.20210202.3,3,2021-02-02T19:28Z,2021-02-02T19:28Z,500,within 24 hours of collection,Sample condition ok,BLDE.SS.20210202.FIL.3,A00000114451,Sample condition ok,BLDE.SS.20210202.FIL.NUT.3,B00000115791,Sample condition ok,BLDE.SS.20210202.RAW.3,A00000117199,Sample condition ok,BLDE.SS.20210202.RAW.NUT.3,B00000115790,,,,,20220509T142117Z,PROVISIONAL
75b12a33-c6b7-4716-ad38-e333e229cc71,D12,BLDE,BLDE.AOS.S2,2021-03-02T17:30Z,BLDE.SS.20210302,Sample condition ok,BLDE.SS.20210302,1,2021-03-02T20:09Z,2021-03-02T20:09Z,600,within 24 hours of collection,Sample condition ok,BLDE.SS.20210302.FIL,A00000114447,Sample condition ok,BLDE.SS.20210302.FIL.NUT,B00000115795,Sample condition ok,BLDE.SS.20210302.RAW,A00000117197,Sample condition ok,BLDE.SS.20210302.RAW.NUT,B00000115794,,,,,20220509T143505Z,PROVISIONAL
2a92025a-b841-4de6-a33d-5c800290e92b,D12,BLDE,BLDE.AOS.S2,2021-03-15T16:55Z,BLDE.SS.20210315,Sample condition ok,BLDE.SS.20210315,1,2021-03-15T20:15Z,2021-03-15T20:15Z,600,within 24 hours of collection,Sample condition ok,BLDE.SS.20210315.FIL,A00000117216,Sample condition ok,BLDE.SS.20210315.FIL.NUT,B00000038928,Sample condition ok,BLDE.SS.20210315.RAW,A00000114424,Sample condition ok,BLDE.SS.20210315.RAW.NUT,B00000038929,,,,,20220509T143505Z,PROVISIONAL
6adf75f4-4d55-410f-ac62-0a2eb4798167,D12,BLDE,BLDE.AOS.S2,2021-05-12T19:31Z,BLDE.SS.20210512,Sample condition ok,BLDE.SS.20210512,1,2021-05-12T19:31Z,2021-05-12T19:31Z,500,within 24 hours of collection,Sample condition ok,BLDE.SS.20210512.FIL,A00000114446,Sample condition ok,BLDE.SS.20210512.FIL.NUT,B00000115796,Sample condition ok,BLDE.SS.20210512.RAW,A00000117201,Sample condition ok,BLDE.SS.20210512.RAW.NUT,B00000038476,,,,,20220509T142322Z,PROVISIONAL
d48b9717-c75c-4853-90ea-aa6aa27ad228,D12,BLDE,BLDE.AOS.S2,2021-05-25T17:15Z,BLDE.SS.20210525,Sample condition ok,BLDE.SS.20210525,1,2021-05-24T20:02Z,2021-05-24T20:02Z,500,within 24 hours of collection,Sample condition ok,BLDE.SS.20210525.FIL,A00000117214,Sample condition ok,BLDE.SS.20210525.FIL.NUT,B00000115690,Sample condition ok,BLDE.SS.20210525.RAW,A00000117206,Sample condition ok,BLDE.SS.20210525.RAW.NUT,B00000038991,,,,,20220509T142322Z,PROVISIONAL
3ae5ef6c-cfc5-46c6-838b-0815e4106ff4,D12,BLDE,BLDE.AOS.S2,2021-06-03T17:20Z,BLDE.SS.20210603,Sample condition ok,BLDE.SS.20210603,1,2021-06-03T20:13Z,2021-06-03T20:13Z,400,within 24 hours of collection,Sample condition ok,BLDE.SS.20210603.FIL,A00000117208,Sample condition ok,BLDE.SS.20210603.FIL.NUT,B00000038994,Sample condition ok,BLDE.SS.20210603.RAW,A00000117203,Sample condition ok,BLDE.SS.20210603.RAW.NUT,B00000038993,,,,,20220509T142814Z,PROVISIONAL
2e49ac69-8cba-4851-b66e-9efd712a811b,D12,BLDE,BLDE.AOS.S2,2021-06-14T18:20Z,BLDE.SS.20210614,Sample condition ok,BLDE.SS.20210614,1,2021-06-14T20:51Z,2021-06-14T20:51Z,400,within 24 hours of collection,Sample condition ok,BLDE.SS.20210614.FIL,A00000117231,Sample condition ok,BLDE.SS.20210614.FIL.NUT,B00000038999,Sample condition ok,BLDE.SS.20210614.RAW,A00000117202,Sample condition ok,BLDE.SS.20210614.RAW.NUT,B00000038998,,,,,20220509T142814Z,PROVISIONAL
80b22b7d-7344-4d98-88ca-63241b5255b0,D12,BLDE,BLDE.AOS.S2,2021-07-06T16:30Z,BLDE.SS.20210706,Sample condition ok,BLDE.SS.20210706,1,2021-07-06T19:26Z,2021-07-06T19:26Z,450,within 24 hours of collection,Sample condition ok,BLDE.SS.20210706.FIL,A00000117249,Sample condition ok,BLDE.SS.20210706.FIL.NUT,B00000039229,Sample condition ok,BLDE.SS.20210706.RAW,A00000114443,Sample condition ok,BLDE.SS.20210706.RAW.NUT,B00000039230,,,,,20220509T142158Z,PROVISIONAL
38013264-ef22-4d56-92a5-73af6decbdc1,D12,BLDE,BLDE.AOS.S2,2021-08-04T16:23Z,BLDE.SS.20210804,Sample condition ok,BLDE.SS.20210804,1,2021-08-04T16:23Z,2021-08-04T19:23Z,550,within 24 hours of collection,Sample condition ok,BLDE.SS.20210804.FIL,A00000117252,Sample condition ok,BLDE.SS.20210804.FIL.NUT,B00000039278,Sample condition ok,BLDE.SS.20210804.RAW,A00000117966,Sample condition ok,BLDE.SS.20210804.RAW.NUT,B00000039282,,,,,20220509T142113Z,PROVISIONAL
5d711495-54c1-4d01-a41e-a53cd9943a52,D12,BLDE,BLDE.AOS.S2,2021-08-10T16:42Z,BLDE.SS.20210810,Sample condition ok,BLDE.SS.20210810,1,2021-08-10T19:45Z,2021-08-10T19:45Z,400,within 24 hours of collection,Sample condition ok,BLDE.SS.20210810.FIL,A00000117248,Sample condition ok,BLDE.SS.20210810.FIL.NUT,B00000039284,Sample condition ok,BLDE.SS.20210810.RAW,A00000117968,Sample condition ok,BLDE.SS.20210810.RAW.NUT,B00000115717,,,,,20220509T142113Z,PROVISIONAL
04be9c3b-de61-4b68-9157-ca31253e33eb,D12,BLDE,BLDE.AOS.S2,2021-09-08T16:28Z,BLDE.SS.20210908,Sample condition ok,BLDE.SS.20210908,1,2021-09-08T19:35Z,,,within 24 hours of collection,Sample condition ok,BLDE.SS.20210908.FIL,A00000117554,Sample condition ok,BLDE.SS.20210908.FIL.NUT,B00000039281,Sample condition ok,BLDE.SS.20210908.RAW,A00000117971,Sample condition ok,BLDE.SS.20210908.RAW.NUT,B00000039268,,,,,20220509T141203Z,PROVISIONAL
480a349e-93c4-48a0-8603-8a597b372049,D12,BLDE,BLDE.AOS.S2,2021-09-20T16:09Z,BLDE.SS.20210920,Sample condition ok,BLDE.SS.20210920,1,2021-09-20T18:13Z,,,within 24 hours of collection,Sample condition ok,BLDE.SS.20210920.FIL,A00000118189,Sample condition ok,BLDE.SS.20210920.FIL.NUT,B00000115720,Sample condition ok,BLDE.SS.20210920.RAW,A00000117967,Sample condition ok,BLDE.SS.20210920.RAW.NUT,B00000039275,,,,,20220509T141203Z,PROVISIONAL
46a9f4e8-6ab3-4ee1-9279-b6b3c55380c7,D12,BLDE,BLDE.AOS.S2,2021-10-05T16:30Z,BLDE.SS.20211005,Sample condition ok,BLDE.SS.20211005,1,2021-10-05T19:33Z,,,within 24 hours of collection,Sample condition ok,BLDE.SS.20211005.FIL,A00000117591,Sample condition ok,BLDE.SS.20211005.FIL.NUT,B00000039277,Sample condition ok,BLDE.SS.20211005.RAW,A00000117973,Sample condition ok,BLDE.SS.20211005.RAW.NUT,B00000039270,,,,,20220509T141941Z,PROVISIONAL
78fca302-5822-486f-84fd-24e38d2328f3,D12,BLDE,BLDE.AOS.S2,2021-11-09T18:10Z,BLDE.SS.20211109,Sample condition ok,BLDE.SS.20211109,1,2021-11-09T18:10Z,,,within 24 hours of collection,Sample condition ok,BLDE.SS.20211109.FIL,A00000117372,Sample condition ok,BLDE.SS.20211109.FIL.NUT,B00000039269,Sample condition ok,BLDE.SS.20211109.RAW,A00000117970,Sample condition ok,BLDE.SS.20211109.RAW.NUT,B00000039274,,,,,20220509T141937Z,PROVISIONAL
9484eefb-ba85-4b83-967a-1013b89286ae,D12,BLDE,BLDE.AOS.S2,2021-11-22T17:30Z,BLDE.SS.20211122,Sample condition ok,BLDE.SS.20211122,1,2021-11-22T19:20Z,,,within 24 hours of collection,Sample condition ok,BLDE.SS.20211122.FIL,A00000283436,Sample condition ok,BLDE.SS.20211122.FIL.NUT,B00000039279,Sample condition ok,BLDE.SS.20211122.RAW,A00000117972,Sample condition ok,BLDE.SS.20211122.RAW.NUT,B00000039273,,,,,20220509T141937Z,PROVISIONAL
d1bd3d69-6e70-4d6f-a5ce-a2ebacd91649,D12,BLDE,BLDE.AOS.S2,2021-12-14T16:45Z,BLDE.SS.20211214,Sample condition ok,BLDE.SS.20211214,1,2021-12-14T19:40Z,,,within 24 hours of collection,Sample condition ok,BLDE.SS.20211214.FIL,A00000283431,Sample condition ok,BLDE.SS.20211214.FIL.NUT,B00000039266,Sample condition ok,BLDE.SS.20211214.RAW,A00000283434,Sample condition ok,BLDE.SS.20211214.RAW.NUT,B00000039265,,,,,20220516T155515Z,PROVISIONAL
